[Skills]
Agility,64.64,Attributes
Intelligence,60.71,Attributes
Psyche,60.88,Attributes
Stamina,60.32,Attributes
Strength,60.68,Attributes
Health,162.59,Attributes
Alertness,2484.89,General
Athletics,4506.23,General
Bravado,1167.55,General
Coolness,2077.09,General
Courage,4054.19,General
Dexterity,4349.75,General
Perception,4105.72,General
Serendipity,3570.17,General
Aim,3547.30,Combat
Clubs,335.18,Combat
Combat Reflexes,4573.29,Combat
Handgun,4017.66,Combat
Heavy Melee Weapons,1745.56,Combat
Heavy Weapons,1.00,Combat
Inflict Melee Damage,2063.14,Combat
Inflict Ranged Damage,3607.20,Combat
Light Melee Weapons,2052.39,Combat
Longblades,1116.97,Combat
Marksmanship,5065.14,Combat
Martial Arts,194.82,Combat
Melee Combat,2079.79,Combat
Melee Damage Assessment,459.15,Combat
Power Fist,903.64,Combat
Ranged Damage Assessment,4810.81,Combat
Rifle,5774.06,Combat
Shortblades,2382.46,Combat
Support Weapon Systems,1.00,Combat
Weapons Handling,4233.18,Combat
Whip,446.22,Combat
Dispense Decoy,1.00,Defense
Dodge,1503.20,Defense
Evade,2612.64,Defense
Anatomy,5461.61,Medical
Diagnosis,2038.32,Medical
First Aid,1873.08,Medical
Analysis,2006.76,Science
Animal Lore,792.55,Science
Animal Taming,1000.79,Science
Biology,1545.02,Science
Botany,1080.90,Science
Computer,460.79,Science
Electronics,2426.81,Science
Engineering,3666.61,Science
Genetics,798.82,Science
Mechanics,2484.82,Science
Zoology,1612.48,Science
Mentor,1.00,Information
Probing,11.24,Information
Scan Animal,3.15,Information
Scan Human,1.82,Information
Scan Mutant,1.00,Information
Scan Robot,1.00,Information
Ground Assessment,299.61,Mining
Drilling,874.70,Mining
Extraction,278.05,Mining
Geology,1545.49,Mining
Metallurgy,22.46,Mining
Mining,2571.77,Mining
Prospecting,2356.82,Mining
Surveying,1025.55,Mining
Armor Technology,1560.91,Construction
Attachments Technology,1.00,Construction
BLP Weaponry Technology,3510.12,Construction
Blueprint Comprehension,2829.39,Construction
Carpentry,67.91,Construction
Gauss Weaponry Technology,1.00,Construction
Laser Weaponry Technology,6073.45,Construction
Machinery,2712.50,Construction
Manufacture Armor,57.10,Construction
Manufacture Attachments,1.00,Construction
Manufacture Electronic Equipment,2442.74,Construction
Manufacture Mechanical Equipment,2565.88,Construction
Manufacture Metal Equipment,2555.05,Construction
Manufacture Tools,1.00,Construction
Manufacture Weapons,2009.00,Construction
Particle Beamer Technology,1.00,Construction
Plasma Weaponry Technology,362.11,Construction
Tools Technology,1.00,Construction
Weapon Technology,15.12,Construction
Wood Carving,16.38,Construction
Wood Processing,15.96,Construction
Color Matching,1.00,Tailoring
Coloring,350.65,Tailoring
Fashion Design,1.00,Tailoring
Make Textile,618.40,Tailoring
Tailoring,737.89,Tailoring
Bioregenesis,1094.64,Mindforce
Concentration,1377.94,Mindforce
Power Catalyst,964.69,Mindforce
Electrokinesis,2420.82,Mindforce
Pyrokinesis,1288.66,Mindforce
Sweat Gatherer,1523.44,Mindforce
Body Sculpting,1.00,Beauty
Face Sculpting,1.00,Beauty
Hair Stylist,1.00,Beauty
Plastic Surgery,1.00,Beauty
Explosive Projectile Weaponry Technology,578.10,Construction
Material Extraction Methodology,17.61,Construction
Texture Engineering,474.40,Construction
Texture Pattern Matching,1.00,Tailoring
Manufacture Enhancers,1.00,Construction
Tier Upgrading,1.00,Construction
